season,week,celebrity_name,judge_percent,judge_rank,fan_vote_percent,fan_vote_rank,total_percent,total_rank
29,6,Veron Davis,0.078,10,0.08,11,0.158,21
29,6,Skai Jackson,0.067,11,0.098,2,0.165,13
29,7,Nev Schulman,0.115,1,0.109,4,0.224,5
29,7,Johnny Weir,0.104,2,0.099,7,0.203,9
29,7,Nelly,0.104,2,0.121,1,0.225,3
29,7,Skai Jackson,0.104,2,0.108,5,0.212,7
29,7,AJ McLean,0.1,5,0.099,6,0.199,11
29,7,Chrishell Stause,0.1,5,0.08,10,0.18,15
29,7,Justina Machado,0.1,5,0.109,2,0.209,7
29,7,Jeannie Mai,0.096,8,0.084,8,0.18,16
29,7,Kaitlyn Bristowe,0.092,9,0.109,3,0.201,12
29,7,Monica Aldama,0.085,10,0.084,9,0.169,19
29,8,Johnny Weir,0.135,1,0.115,7,0.25,8
29,8,Nev Schulman,0.135,1,0.135,4,0.27,5
29,8,Justina Machado,0.131,3,0.135,2,0.266,5
29,8,Kaitlyn Bristowe,0.126,4,0.135,3,0.261,7
29,8,AJ McLean,0.122,5,0.116,6,0.238,11
29,8,Chrishell Stause,0.122,5,0.075,8,0.197,13
29,8,Skai Jackson,0.122,7,0.131,5,0.253,12
29,8,Nelly,0.108,8,0.158,1,0.266,9
29,9,Johnny Weir,0.155,1,0.116,7,0.271,8
29,9,Kaitlyn Bristowe,0.155,1,0.156,4,0.311,5
29,9,Nev Schulman,0.15,3,0.156,3,0.306,6
29,9,Skai Jackson,0.15,3,0.126,5,0.276,8
29,9,Justina Machado,0.135,5,0.156,2,0.291,7
29,9,AJ McLean,0.13,6,0.119,6,0.249,12
29,9,Nelly,0.124,7,0.171,1,0.295,8
29,10,Kaitlyn Bristowe,0.172,1,0.189,3,0.361,4
29,10,Nev Schulman,0.172,1,0.189,2,0.361,3
29,10,Justina Machado,0.167,3,0.189,4,0.356,7
29,10,Johnny Weir,0.164,4,0.114,6,0.278,10
29,10,Skai Jackson,0.164,4,0.121,5,0.285,9
29,10,Nelly,0.161,6,0.199,1,0.36,7
29,11,Justina Machado,0.253,1,0.248,4,0.501,5
29,11,Kaitlyn Bristowe,0.253,1,0.248,3,0.501,4
29,11,Nev Schulman,0.253,1,0.248,2,0.501,3
29,11,Nelly,0.241,4,0.256,1,0.497,5
